answer,label,윤경,지원,수연,승희,나현,,
왕,1,,0.5,0.5,0.5,0.5,,
무슨 일 있었오? ㅠ,0,,0,0,0,0,,
왜 우울한지 물어본다,0,,0,0,0,0,,
왜 우울하니?,0,,0,0,0,0,,0 : 부정
무슨일이니~,0,,0.3,0,0,0.3,,0.3 : 부정에 가까운 중립
염색 색깔뭐야,1,,0.7,0.7,1,0.7,,0.5 : 중립
잘했네,1,,1,1,1,1,,0.7 : 긍정에 가까운 중립
이쁘다,1,,1,1,1,1,,1 : 긍정
왜 우울해?,0,,0,0,0,0,,
이쁘네,1,,1,1,1,1,,
염색한 것도 잘 어울리네,1,,1,1,1,1,,
잘했어,1,,1,1,1,1,,
헐~,0,,0,0.3,0.3,0.3,,
왜우울해 ㅠㅠㅜㅜ,0,,0,0,0,0,,
염색? 이쁘네 근데 왜 우울해?,1,,0,0.7,0.7,0.7,,
무슨일잇음?,0,,0.5,0,0.3,0.3,,
우울한데 왜 염색을 해,1,,0.5,0.5,0.7,0.5,,
잘했어  예쁘네~,1,,1,1,1,1,,
너랑 잘어울려,1,,1,1,1,1,,
무슨색이야?,1,,0.7,0.7,0.5,0.7,,
무슨일이야ㅠㅠ,0,,0,0,0.3,0,,
오 염색잘했는데? 이쁨,1,,1,1,1,1,,
예쁘네,1,,1,1,1,1,,
이쁘다,1,,1,1,1,1,,
왜 우울한지 물어본다,0,,0,0,0.3,0,,
왜 우울한데,0,,0,0,0.3,0,,
왜 우울하냐고 물어본다,0,,0.3,0,0.3,0.3,,
우울한거랑 염색이 무슨 상관인지 모르겠지만 잘했다고 칭찬해주며 달래준다,1,,0.5,0.3,0.7,0.5,,
오 이쁘다,1,,1,1,1,1,,
이쁘네 잘어울린다!,1,,1,1,1,1,,
어떤색으로? 왜 우울해?,1,"먼저 물어보는 질문에 따라 t,f 나눔",1,0.7,0.7,0.7,,
잘어울려,1,,1,1,1,1,,
완전 잘 어울려 예뿌다!!,1,,1,1,1,1,,
왜 우울해??,0,,0.3,0,0.3,0.3,,
기분전환에 염색하는거 좋은 일이지!,1,,0.5,0.3,0.7,0.5,,
무슨일있어? 무슨색으로?,0,,0.5,0.3,0.3,0.3,,
왜 우울했아?,0,,0.3,0.3,0.3,0.3,,
왜 우울했는지 이유를 물어보면서 색은 너무 찰떡이라고 할 거,1,,0.3,0.3,0.7,0.5,,
잘 어울린다. 근데 무슨 일 있어?,1,,0.3,0.7,0.7,0.7,,
왜 우울햇으,0,,0,0,0.3,0,,
잘어울려,1,,1,1,1,1,,
무슨일 있었는지,0,,0,0,0.3,0.3,,
왜 우울해!!!,0,,0,0,0.3,0,,
그래서 염색으로 기분이 바뀌었어?,0,,0.3,0.3,0.3,0.3,,
그렇구나,0,,0.5,0.5,0.3,0.5,,
무슨 일 때문에 우울해?,0,,0,0,0.3,0,,
무슨 일 있었어?,0,,0,0,0.3,0,,
머리 예뿌다,1,,1,1,1,1,,
왜 우울해,0,,0.3,0,0.3,0,,
